,Title,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
1,Mitsubishi Motors Corporation - Climate Change 2020,116606.0,386402,416878,6330817.0,319000.0,49311.0,1173571.0,21000.0,4182.0,14171.0,,,,26833360.0,670649.0,,13290.0,,,
3,BMW AG - Climate Change 2020,642259.0,1420172,302574,18505921.0,,,1570397.0,,129646.0,146298.0,,,,53421006.0,1269018.0,,,,,
4,Toyota Motor Corporation - Climate Change 2020,1904119.0,4244743,3779542,65100000.0,4230000.0,960000.0,910000.0,90000.0,170000.0,680000.0,,10000.0,1240000.0,320500000.0,3960000.0,,,90000.0,,
8,SUBARU CORPORATION - Climate Change 2020,279674.2,426247.2,392217.8,1992046.0,413287.0,105323.0,737817.0,32095.0,4554.0,13835.0,,,,31390639.0,575107.0,,,,,
10,Ferrari - Climate Change 2020,93789.0,11603,826,,,,,,,,,5482.0,,,,,,,,
14,Ford Motor Company - Climate Change 2020,1451947.0,3195704,3068182,39676648.0,1280384.0,1066000.0,2102900.0,9297.0,61306.0,803387.0,,,,134760000.0,1360000.0,,1957800.0,,,
15,PACCAR Inc - Climate Change 2020,120209.0,165289,130169,1623520.0,731077.0,24872.0,1806889.0,593.0,10467.0,43659.0,,508436.0,86951.0,78066148.0,14272.0,1589.0,,,,
17,Renault - Climate Change 2020,626947.0,697096,585404,10896583.0,1847004.0,140436.0,591167.0,997488.0,43614.0,27856.0,,622728.0,842.0,81602027.0,1841764.0,,295598.0,1447191.0,,
19,Mahindra &amp; Mahindra - Climate Change 2020,40654.0,214785,199767,4372542.0,,111338.0,56528.0,51127.0,12762.0,2017.0,,91786.0,,53677130.0,38938.0,8960.0,2403.0,,,
20,Volkswagen AG - Climate Change 2020,4494068.0,5973894,3796231,71564141.0,16724588.0,1512239.0,4622584.0,1237583.0,721168.0,1027995.0,,,,344474742.0,1187992.0,2602402.0,1550000.0,,,
21,Daimler AG - Climate Change 2020,1239000.0,1706000,1276000,21600000.0,1316000.0,197000.0,251000.0,906000.0,70800.0,296000.0,,600000.0,100000.0,117200000.0,1200000.0,,672000.0,,,
23,Mazda Motor Corporation - Climate Change 2020,117120.0,534950,,4570000.0,95400.0,110699.0,30402.0,4352.0,2248.0,5151.0,,63248.0,,31068000.0,387489.0,,,,,
24,Navistar International Corporation - Climate Change 2020,91171.0,125729,,,,,,,,,,,,,,,,,,
27,Hyundai Motor Co - Climate Change 2020,808139.0,1900954,,1116672.0,251.0,97199.0,,2053.0,24836.0,15093.0,,954579.0,,4399090.0,8455.0,4126.0,,394946.0,,
29,BYD - Climate Change 2020,131.96,200994.41,,,,,,,,,,,,,,,,,,
30,Suzuki Motor Corporation - Climate Change 2020,623000.0,587000,566000,8697000.0,922000.0,179000.0,65000.0,5000.0,12000.0,47000.0,,776000.0,,75762000.0,30000.0,,,516000.0,,
33,Isuzu Motors Limited - Climate Change 2020,144559.0,134730,121359,8808327.0,1625348.0,26441.0,16264.0,6681.0,1064.0,14658.0,,36523.0,326138.0,25232179.0,410.0,,,,,
39,"Nissan Motor Co., Ltd. - Climate Change 2020",765370.0,2337703,2173236,15620000.0,994000.0,358000.0,583000.0,171000.0,221000.0,238000.0,,760000.0,8000.0,153428000.0,369000.0,389000.0,,,,
46,Groupe PSA - Climate Change 2020,888847.0,596149,336272,18113776.0,,,587046.0,,24411.0,335150.0,,221627.0,,104685836.0,1043495.0,,,,,
49,General Motors Company - Climate Change 2020,1589700.0,4381970,3721875,45505504.0,4597425.0,322403.0,3449729.0,954.0,40051.0,123000.0,10077.0,1922037.0,120731.0,190123729.0,2938656.0,20459.0,138641.0,,,
56,"Honda Motor Co., Ltd. - Climate Change 2020",1240000.0,3440000,3790000,41200000.0,1090000.0,497000.0,3010000.0,210000.0,284000.0,177000.0,,128000.0,499.0,247000000.0,4120000.0,,,100000.0,,
59,Fiat Chrysler Automobiles NV - Climate Change 2020,1058367.0,2296709,2359103,26971020.0,707594.0,51719.0,791225.0,1350.0,23357.0,9000.0,0.0,699208.0,,92524830.0,845856.0,0.0,125535.0,,,
Non Answer,,0.0,0.0,18.181818181818183,13.636363636363637,27.272727272727273,22.727272727272727,18.181818181818183,22.727272727272727,13.636363636363637,13.636363636363637,90.9090909090909,31.818181818181817,63.63636363636363,13.636363636363637,13.636363636363637,68.18181818181819,63.63636363636363,77.27272727272727,100.0,100.0
