,Title,Activity,Currency,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),Scope 1,Scope 2 (location based),Carbometrix: Use of sold products,Carboon footprint,Total revenue (million of EUR),tCO2e / M EUR
32,Ford Motor Company - Climate Change 2018,Light Duty Vehicles (LDV),USD,161356663.3,5775812.0,10.0,15000.65814,1391127.0,3482444,161349583.9256557,213148547.9256557,120413.22314049587,1770.1423678108674
14,Renault - Climate Change 2020,Light Duty Vehicles (LDV),EUR,81602027.0,3097766.0,10.0,15000.0,626947.0,697096,81602027.0,100981245.0,55537.0,1818.269712083836
22,Groupe PSA - Climate Change 2018,Light Duty Vehicles (LDV),EUR,61174707.0,3228381.0,10.0,15000.0,426737.0,182548,61174707.0,82535046.0,45028.0,1832.9716176601225
31,Renault - Climate Change 2019,Light Duty Vehicles (LDV),EUR,84001034.0,3240675.0,10.0,15000.0,663344.0,663271,84001034.0,106600346.0,57419.0,1856.534352740382
35,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),INR,1369123.0,314741.0,15.0,10000.0,45768.0,247948,1369123.0,11822658.57,6063.56028047953,1949.7882470239117
1,Mitsubishi Motors Corporation - Climate Change 2020,Light Duty Vehicles (LDV),JPY,26833360.0,1127000.0,15.0,10000.0,116606.0,386402,26833360.0,35545957.0,17880.41269591242,1987.983029503902
58,Mitsubishi Motors Corporation - Climate Change 2019,Light Duty Vehicles (LDV),JPY,33198740.0,1244000.0,15.0,10000.0,66417.0,418992,33198740.0,42646905.0,19804.63101520044,2153.3804374980614
8,General Motors Company - Climate Change 2019,Light Duty Vehicles (LDV),USD,208375500.0,8380000.0,10.0,15000.0,1763555.0,4322761,208375500.0,264262751.0,121528.09917355372,2174.4991717726743
44,Groupe PSA - Climate Change 2020,Light Duty Vehicles (LDV),EUR,104685836.0,3479096.0,10.0,15000.0,888847.0,596149,104685836.0,125900188.0,56963.0,2210.2099257412706
46,General Motors Company - Climate Change 2020,Light Duty Vehicles (LDV),USD,190123729.0,7718000.0,10.0,15000.0,1589700.0,4381970,190123729.0,250903096.0,113419.00826446281,2212.178539023733
49,Mitsubishi Motors Corporation - Climate Change 2018,Light Duty Vehicles (LDV),JPY,30731365.0,1248650.0,15.0,10000.0,120063.0,410151,30731365.0,38840790.0,17266.98432700638,2249.4252189278454
0,General Motors Company - Climate Change 2018,Light Duty Vehicles (LDV),USD,220929108.0,8915000.0,10.0,15000.0,1848804.0,4572734,220929108.0,282698758.0,120320.66115702479,2349.5445859548863
17,Mahindra &amp; Mahindra - Climate Change 2020,Light Duty Vehicles (LDV),INR,8395722.0,250046.0,15.0,10000.0,40654.0,214785,8395722.0,13184777.0,5074.191359420945,2598.3996396826105
20,Suzuki Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),JPY,66779603.0,3223897.0,15.0,10000.0,597347.0,644898,66779603.0,78012072.0,29591.39166732299,2636.309669955358
38,Mahindra &amp; Mahindra - Climate Change 2018,Light Duty Vehicles (LDV),INR,8257141.62,248859.0,15.0,10000.0,41777.0,229217,8257141.62,16128102.1,5592.060619769283,2884.1071648943266
34,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),INR,8332538.76,254351.0,15.0,10000.0,45768.0,247948,8332538.76,18786074.33,6063.56028047953,3098.1920622572457
