,Title,Activity,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),Scope 1,Scope 2 (location based),Carbometrix: Use of sold products,Carboon footprint,tCO2e / cars
58,"Honda Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),247000000.0,4890000.0,18.0,17600.0,1240000.0,3440000,116950757.57575758,169007256.57575756,34.56181116068662
8,Fiat Chrysler Automobiles NV - Climate Change 2018,Light Duty Vehicles (LDV),90152474.0,3591574.0,10.0,15000.0,1101289.0,3309598,90152474.0,125830877.0,35.03502280615685
44,Ford Motor Company - Climate Change 2019,Light Duty Vehicles (LDV),134409771.6,4933419.0,10.0,15000.0,1442963.0,3349808,134409771.6,175839059.6,35.64243369557704
6,"Honda Motor Co., Ltd. - Climate Change 2019",Light Duty Vehicles (LDV),257000000.0,4890000.0,18.0,17600.0,1380000.0,3690000,121685606.06060606,176783906.06060606,36.15212802875379
49,Groupe PSA - Climate Change 2020,Light Duty Vehicles (LDV),104685836.0,3479096.0,10.0,15000.0,888847.0,596149,104685836.0,125900188.0,36.187615403541606
7,"Honda Motor Co., Ltd. - Climate Change 2018",Light Duty Vehicles (LDV),261000000.0,4830000.0,18.0,17600.0,1350000.0,3790000,123579545.45454545,177997245.45454544,36.85243177112742
37,Ford Motor Company - Climate Change 2018,Light Duty Vehicles (LDV),161356663.3,5775812.0,10.0,15000.65814,1391127.0,3482444,161349583.9256557,213148547.9256557,36.90365059071446
40,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),1369123.0,314741.0,15.0,10000.0,45768.0,247948,1369123.0,11822658.57,37.5631346726356
30,Hyundai Motor Co - Climate Change 2019,Light Duty Vehicles (LDV),4937006.49,237376.0,10.0,12000.0,831180.0,1920126,6171258.1125,9085983.7125,38.27675802313629
14,Ford Motor Company - Climate Change 2020,Light Duty Vehicles (LDV),134759224.0,4661106.0,10.0,15000.0,1451947.0,3195704,134759224.0,184528893.0,39.589078858107925
52,Hyundai Motor Co - Climate Change 2018,Light Duty Vehicles (LDV),4937006.49,237376.0,10.0,12000.0,805105.0,1797736,6171258.1125,9457703.912500001,39.84271330083918
29,Hyundai Motor Co - Climate Change 2019,Light Duty Vehicles (LDV),3576346.3,184344.0,10.0,12000.0,831180.0,1920126,4470432.875,7385158.474999999,40.06183263355465
47,Daimler AG - Climate Change 2018,Light Duty Vehicles (LDV),16875000.0,900000.0,10.0,15000.0,1192000.0,2041000,16875000.0,40397800.0,44.88644444444444
19,Mahindra &amp; Mahindra - Climate Change 2020,Light Duty Vehicles (LDV),3130598.0,171189.0,15.0,10000.0,40654.0,214785,3130598.0,7919653.0,46.262627855761764
22,Daimler AG - Climate Change 2020,Light Duty Vehicles (LDV),24030000.0,890000.0,10.0,20000.0,1239000.0,1706000,18022500.0,46470300.0,52.2138202247191
20,Mahindra &amp; Mahindra - Climate Change 2020,Light Duty Vehicles (LDV),8395722.0,250046.0,15.0,10000.0,40654.0,214785,8395722.0,13184777.0,52.72940578933476
43,Mahindra &amp; Mahindra - Climate Change 2018,Light Duty Vehicles (LDV),8257141.62,248859.0,15.0,10000.0,41777.0,229217,8257141.62,16128102.1,64.80819299281923
39,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),8332538.76,254351.0,15.0,10000.0,45768.0,247948,8332538.76,18786074.33,73.85885775955273
48,Volkswagen AG - Climate Change 2018,Light Duty Vehicles (LDV),249466650.0,10574345.0,15.0,10.0,4297748.0,5901889,249466650000.0,249562248342.0,23600.728777243414
