,Title,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
0,General Motors Company - Climate Change 2018,0.6340762883010376,1.5682907447776815,1.4757424897062028,15.836121526987801,1.5763819906823844,0.12160190522089734,1.038862883079312,0.022673802899533912,0.017195269410142516,0.04630036440890439,0.003456064978877997,0.5518914266469208,0.04140658737371434,75.771097843957,1.2207790726358712,0.007016734484753888,0.046797321653559966,0.020307682795407754,0.0,0.0
1,Mitsubishi Motors Corporation - Climate Change 2020,0.3207935286234481,1.0630264398672247,1.1468686399112036,17.416643436009398,0.8775975132572934,0.13565896857752474,3.228598718592085,0.05777287704828577,0.011505055800758624,0.03898568765005989,0.0,0.0,0.0,73.82097181297092,1.8450153437883716,0.0,0.03656197790341514,0.0,0.0,0.0
2,Fiat Chrysler Automobiles NV - Climate Change 2019,0.9226850462652686,2.2845088817999444,2.0182618051043257,20.832231078976864,1.5149180698561742,0.04395644799903913,0.7431693899774348,0.001225597085366718,0.0291357109780612,0.007353582512200308,0.0,0.5541643439899681,0.0,70.18513256773007,0.760687257650943,0.0,0.10257022007434063,0.0,0.0,0.0
3,BMW AG - Climate Change 2020,0.8297138314787428,1.8346747207572476,0.39088565959503735,23.90720662217723,0.0,0.0,2.028745586769081,0.0,0.16748551502726017,0.1889977004879295,0.0,0.0,0.0,69.01288665430754,1.6394037093999323,0.0,0.0,0.0,0.0,0.0
4,Toyota Motor Corporation - Climate Change 2020,0.4668464096081343,1.040713857305799,0.9266572166251936,15.96103041117154,1.0370992110484734,0.2353700337131287,0.2231111777905699,0.022065940660605816,0.04168011013669987,0.1667204405467995,0.0,0.002451771184511757,0.30401962687945794,78.57926646360183,0.9709013890666559,0.0,0.0,0.022065940660605816,0.0,0.0
5,"Honda Motor Co., Ltd. - Climate Change 2019",0.43141407216432,1.1535637147002469,1.2786112718493252,13.72396939711134,0.38452123823341566,0.17037729661561912,0.9409828675468139,0.07002663200348383,0.08722067111148209,0.05377044957410365,0.0,0.042828788323559304,0.011910779818449704,80.34305546828278,1.2786112718493252,0.0,0.0,0.029136080815735235,0.0,0.0
6,"Honda Motor Co., Ltd. - Climate Change 2018",0.41755887657485424,1.172257883124961,1.268141773301409,13.454674911856415,0.38662858942116135,0.14320722952159815,0.9071853222178129,0.06588151163736589,0.08474898680111856,0.05258148816127794,0.0,0.033714012997525265,0.011351415385405296,80.72804947113849,1.2372114861477161,0.0,0.0,0.03680704171289456,0.0,0.0
7,Fiat Chrysler Automobiles NV - Climate Change 2018,0.8352322549426422,2.510043231607379,2.0581426504633074,23.159265820405313,1.0067580467255872,0.09656118484729913,0.665460673186023,0.0012225622838033788,0.029825362514175977,0.006891701906278724,0.0,0.4883044208603011,0.0,68.37283778161584,0.6742468915842005,0.0,0.09520741705785184,0.0,0.0,0.0
8,SUBARU CORPORATION - Climate Change 2020,0.7691208472147427,1.1722054003798414,1.0786225065762323,5.478246142156621,1.1365640719910501,0.2896445756927108,2.0290410632423006,0.0882631776236677,0.012523773512951634,0.03804708092922395,0.0,0.0,0.0,86.32614256979065,1.5815787908900034,0.0,0.0,0.0,0.0,0.0
9,General Motors Company - Climate Change 2019,0.6424466736347219,1.5747416016897142,1.4295998107903283,15.056244005869859,1.597170251095229,0.1291100860683392,1.001718534059861,0.006587104316374052,0.01977005592576152,0.04726671745656085,0.0036709573164528993,0.5321587591081598,0.043981179693626575,76.63645317371727,1.2216852690737763,0.0074530232943643806,0.0499427968895928,0.0,0.0,0.0
10,Ferrari - Climate Change 2020,83.96508504923904,10.387645478961504,0.7394807520143241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907788719785139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BYD - Climate Change 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Groupe PSA - Climate Change 2019,0.7614685548367319,0.37807741593938754,0.2666470757642449,19.1404186285719,0.0,0.0,0.8117143281829363,0.0,0.010021228787202966,0.07576499940102452,0.0,0.29061390030205136,0.0,76.8623113779037,1.4029624903108247,0.0,0.0,0.0,0.0,0.0
13,Isuzu Motors Limited - Climate Change 2018,0.3964295814967338,0.2746794142195918,0.2577102690920128,14.438082264664079,0.3455491383915062,0.09867177000660111,0.05171120542412816,0.018369744416122546,0.0031670938944368017,0.04343357365457742,0.0,0.11327159299724349,1.801812501443337,82.15596017979256,0.0011516705070679278,0.0,0.0,0.0,0.0,0.0
14,Ford Motor Company - Climate Change 2020,0.7610042173594386,1.674953852607862,1.608116165139855,20.795591339550228,0.6710834650572971,0.5587190825182748,1.102186077511895,0.004872806107103565,0.032132112638710464,0.42107659244569345,0.0,0.0,0.0,70.63131666056539,0.7128123379220016,0.0,1.0261352905762462,0.0,0.0,0.0
15,PACCAR Inc - Climate Change 2020,0.14424940366577252,0.1983448800215614,0.15620128797153243,1.9482051413742314,0.8772839078917716,0.02984611108964465,2.1682458113805456,0.000711593111778678,0.012560278416504929,0.052390292861965095,0.0,0.6101172940645935,0.10434018998696093,93.67847079240273,0.01712623421805277,0.00190678154235467,0.0,0.0,0.0,0.0
16,"Nissan Motor Co., Ltd. - Climate Change 2018",0.416814723531216,1.17116186942022,1.093617674260579,8.209067851186752,0.5495247134259453,0.1881996524783786,0.33802850202427226,0.08998866878213735,0.10506291279132787,0.11511240879745488,0.0,0.3992390686070459,0.005024748003063507,86.91032543735145,0.19413799102745366,0.21469377831271347,0.0,0.0,0.0,0.0
17,Renault - Climate Change 2020,0.6130686882237688,0.6816648461289971,0.5724452981846108,10.655372536963124,1.8061180919982933,0.1373272609955757,0.5780807264588247,0.9754072667688828,0.04264854567960522,0.027239370120857594,0.0,0.6089430814410327,0.0008233612019587196,79.79565680877421,1.8009940864184075,0.0,0.28905454225248645,1.4151554883893602,0.0,0.0
18,"Nissan Motor Co., Ltd. - Climate Change 2019",0.4258240683677805,1.2158447128715173,1.120226229604795,8.366689098802546,0.565886159005757,0.19197999133782448,0.3648098588514271,0.0919205943562651,0.11011321198927589,0.11873076771017574,0.0,0.40694013126471523,0.004308777860449926,86.59781743932261,0.19772502848509105,0.22118393016976287,0.0,0.0,0.0,0.0
19,Mahindra &amp; Mahindra - Climate Change 2020,0.06904465207356356,0.36477974112314526,0.3392739462483291,7.426099303070884,0.0,0.18909070380691737,0.09600423309918828,0.08683145389297692,0.021674321094180597,0.003425568535257974,0.0,0.15588459770807556,0.0,91.1624628611561,0.06613028637871839,0.015217200830893132,0.004081130981767433,0.0,0.0,0.0
20,Volkswagen AG - Climate Change 2020,0.9738177712063721,1.294480666626121,0.8226037548618618,15.507204672229827,3.624044186804658,0.3276864552364034,1.0016658510939835,0.26817135805308145,0.15626960126668243,0.22275581938486344,0.0,0.0,0.0,74.64409205453279,0.25742550438733913,0.5639134333132042,0.33586887100281454,0.0,0.0,0.0
21,Daimler AG - Climate Change 2020,0.8336147932648769,1.147818270629443,0.8585088589233115,14.53275184384289,0.8854213623378353,0.13254407931653006,0.1688759589261373,0.6095682023389657,0.04763513104370725,0.19915252526747665,0.0,0.40368755121785804,0.06728125853630967,78.85363500455495,0.8073751024357161,0.0,0.452130057364001,0.0,0.0,0.0
22,Suzuki Motor Corporation - Climate Change 2019,0.7535713449950456,0.8135583726788868,0.7718483960998277,10.48592696710894,0.92328880194422,0.21904959965020288,0.0786816453206277,0.004909875959401684,0.014482367937803529,0.06109338976410708,0.0,0.9477839359379772,0.0,84.24449315212965,0.03693886895355619,0.0,0.0,0.6443732815197605,0.0,0.0
23,Mazda Motor Corporation - Climate Change 2020,0.31663417012041317,1.4462384674343838,0.0,12.355004759650685,0.25791410373537754,0.29927498290778365,0.08219187192623635,0.011765641294091855,0.006077472800808477,0.013925739500429033,0.0,0.170991103071857,0.0,83.99240434853994,1.0475773390180052,0.0,0.0,0.0,0.0,0.0
24,Navistar International Corporation - Climate Change 2020,42.03365606270171,57.96634393729829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Isuzu Motors Limited - Climate Change 2019,0.3867512441768771,0.30157885614674645,0.2798789232066173,14.855331259730411,0.0,0.10137020527217021,0.0521506194341744,0.01930126457916982,0.003260737065717766,0.04490621751173094,0.0,0.11316693491623263,2.053456729141945,81.78764616223648,0.0012008465817160976,0.0,0.0,0.0,0.0,0.0
26,Groupe PSA - Climate Change 2018,0.4529229822690667,0.19374974414511417,0.126845648389853,19.403672616255285,0.0,0.0,1.111668715999957,0.0,0.017861682649046424,0.06798031812177928,0.0,0.40424355540481366,0.0,77.00832513191392,1.2127296048511604,0.0,0.0,0.0,0.0,0.0
