,Title,Source,Nameplate capacity (MW),Gross electricity generation (GWh),Net electricity generation (GWh),Absolute scope 1 emissions (metric tons CO2e),Scope 1 emissions intensity (metric tons CO2e per GWh)
70,\xc3\x98rsted - Climate Change 2020,Nuclear,0,0,0,0,0
71,\xc3\x98rsted - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
72,\xc3\x98rsted - Climate Change 2020,Geothermal,0,0,0,0,0
73,\xc3\x98rsted - Climate Change 2020,Hydropower,0,0,0,0,0
74,\xc3\x98rsted - Climate Change 2020,Wind,4614,15464,15464,0,0
75,\xc3\x98rsted - Climate Change 2020,Solar,10,15,15,0,0
76,\xc3\x98rsted - Climate Change 2020,Marine,0,0,0,0,0
77,\xc3\x98rsted - Climate Change 2020,Other renewable,0,0,0,0,0
78,\xc3\x98rsted - Climate Change 2020,Other non-renewable,0,0,0,0,0
79,\xc3\x98rsted - Climate Change 2020,Total,7489,28871,28425,1767000,61
80,HK Electric Investments - Climate Change 2020,Coal \xe2\x80\x93 hard,2000,Net electricity generation (GWh),7601,7095295,933.5
81,HK Electric Investments - Climate Change 2020,Lignite,0,0,0,0,0
82,HK Electric Investments - Climate Change 2020,Oil,555,0,0,0,0
83,HK Electric Investments - Climate Change 2020,Gas,680,Net electricity generation (GWh),3287,1399435,425.7
84,HK Electric Investments - Climate Change 2020,Biomass,0,0,0,0,0
85,HK Electric Investments - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
86,HK Electric Investments - Climate Change 2020,Nuclear,0,0,0,0,0
87,HK Electric Investments - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
88,HK Electric Investments - Climate Change 2020,Geothermal,0,0,0,0,0
89,HK Electric Investments - Climate Change 2020,Hydropower,0,0,0,0,0
90,HK Electric Investments - Climate Change 2020,Wind,0.8,Net electricity generation (GWh),0.69,0,0
91,HK Electric Investments - Climate Change 2020,Solar,1,Net electricity generation (GWh),1.07,0,0
92,HK Electric Investments - Climate Change 2020,Marine,0,0,0,0,0
93,HK Electric Investments - Climate Change 2020,Other renewable,0,0,0,0,0
94,HK Electric Investments - Climate Change 2020,Other non-renewable,0,0,0,0,0
95,HK Electric Investments - Climate Change 2020,Total,3236.8,Net electricity generation (GWh),10890,8494730,780
96,Emera Inc. - Climate Change 2020,Coal \xe2\x80\x93 hard,2157,7701,7075,8644160,1222
97,Emera Inc. - Climate Change 2020,Lignite,0,0,0,0,0
98,Emera Inc. - Climate Change 2020,Oil,934,1423,1377,1032506,750
99,Emera Inc. - Climate Change 2020,Gas,4956,19459,18884,6319846,335
100,Emera Inc. - Climate Change 2020,Biomass,93,158,123,30341,247
101,Emera Inc. - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
102,Emera Inc. - Climate Change 2020,Nuclear,0,0,0,0,0
103,Emera Inc. - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
104,Emera Inc. - Climate Change 2020,Geothermal,0,0,0,0,0
105,Emera Inc. - Climate Change 2020,Hydropower,414,1060,1053,0,0
106,Emera Inc. - Climate Change 2020,Wind,147,256,256,0,0
107,Emera Inc. - Climate Change 2020,Solar,455,782,775,0,0
108,Emera Inc. - Climate Change 2020,Marine,0,0,0,0,0
109,Emera Inc. - Climate Change 2020,Other renewable,0,0,0,0,0
110,Emera Inc. - Climate Change 2020,Other non-renewable,0,0,0,0,0
111,Emera Inc. - Climate Change 2020,Total,9156,30839,29543,16026853,543
112,CEZ - Climate Change 2020,Coal \xe2\x80\x93 hard,1447,2578,Absolute scope 1 emissions (metric tons CO2e),2329950,904
113,CEZ - Climate Change 2020,Lignite,5088,22829,Absolute scope 1 emissions (metric tons CO2e),19809288,868
114,CEZ - Climate Change 2020,Oil,0,0,0,0,0
115,CEZ - Climate Change 2020,Gas,955,4006,Absolute scope 1 emissions (metric tons CO2e),1373350,343
116,CEZ - Climate Change 2020,Biomass,0,1028,Absolute scope 1 emissions (metric tons CO2e),0,0
117,CEZ - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
118,CEZ - Climate Change 2020,Nuclear,4290,30245,Absolute scope 1 emissions (metric tons CO2e),0,0
119,CEZ - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
120,CEZ - Climate Change 2020,Geothermal,0,0,0,0,0
121,CEZ - Climate Change 2020,Hydropower,1984,2315,Absolute scope 1 emissions (metric tons CO2e),0,0
122,CEZ - Climate Change 2020,Wind,742,1479,Absolute scope 1 emissions (metric tons CO2e),0,0
123,CEZ - Climate Change 2020,Solar,130,142,Absolute scope 1 emissions (metric tons CO2e),0,0
124,CEZ - Climate Change 2020,Marine,0,0,0,0,0
125,CEZ - Climate Change 2020,Other renewable,1,2,Absolute scope 1 emissions (metric tons CO2e),0,0
126,CEZ - Climate Change 2020,Other non-renewable,0,0,0,0,0
127,CEZ - Climate Change 2020,Total,14643,64626,Absolute scope 1 emissions (metric tons CO2e),23513582,361
128,VERBUND AG - Climate Change 2020,Coal \xe2\x80\x93 hard,246,Net electricity generation (GWh),644,681701,1099
129,VERBUND AG - Climate Change 2020,Lignite,0,0,0,0,0
130,VERBUND AG - Climate Change 2020,Oil,0,0,0,0,0
131,VERBUND AG - Climate Change 2020,Gas,848,Net electricity generation (GWh),925,360166,389
132,VERBUND AG - Climate Change 2020,Biomass,0,0,0,0,0
133,VERBUND AG - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
134,VERBUND AG - Climate Change 2020,Nuclear,0,0,0,0,0
135,VERBUND AG - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
136,VERBUND AG - Climate Change 2020,Geothermal,0,0,0,0,0
137,VERBUND AG - Climate Change 2020,Hydropower,8206,Net electricity generation (GWh),30660,0,0
138,VERBUND AG - Climate Change 2020,Wind,418,Net electricity generation (GWh),929,0,0
139,VERBUND AG - Climate Change 2020,Solar,0,0,0,0,0
140,VERBUND AG - Climate Change 2020,Marine,0,0,0,0,0
141,VERBUND AG - Climate Change 2020,Other renewable,0,0,0,0,0
142,VERBUND AG - Climate Change 2020,Other non-renewable,0,0,0,0,0
143,VERBUND AG - Climate Change 2020,Total,9718,Net electricity generation (GWh),33158,1067,32
