,Title,Start Date,End Date,Currency,Reporting_boundary,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
0,EDF - Climate Change 2020,January 1 2019,December 31 2019,EUR,Financial control,33090243.979,289242.736,387540.33,3784217.331,4323198.18,40545397,nan,190248.233,122938.61,315032.133,nan,nan,nan,60095133.206,nan,nan,nan,9987463.124,nan,nan
1,Elia System Operator - Climate Change 2020,January 1 2019,December 31 2019,EUR,Financial control,11014,228340,227048,267,38436,1204,nan,339,986,733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,TransAlta Corporation - Climate Change 2020,January 1 2019,December 31 2019,CAD,Operational control,20434944,139498,<Not Applicable>,471935,47617,439672,155292,45435,771,2975,0,396,nan,nan,nan,nan,nan,4500346,nan,nan
3,Pampa Energia S.A. - Climate Change 2020,January 1 2019,December 31 2019,USD,Operational control,6526584,<Not Applicable>,58062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,\xc3\x98rsted - Climate Change 2020,January 1 2019,December 31 2019,DKK,Financial control,1846000,123000,4000,244000,740,3217000,nan,400,13000,9000,nan,3000,nan,30377000,nan,nan,nan,nan,nan,nan
5,HK Electric Investments - Climate Change 2020,January 1 2019,December 31 2019,HKD,Operational control,8510000,0,<Not Applicable>,nan,nan,19686,nan,nan,151.01,58.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,Emera Inc. - Climate Change 2020,January 1 2019,December 31 2019,CAD,Operational control,16224673,524,<Not Applicable>,nan,nan,1429282,nan,nan,nan,nan,nan,nan,nan,8118268,nan,nan,nan,nan,nan,nan
7,CEZ - Climate Change 2020,January 1 2019,December 31 2019,CZK,Financial control,26070966,383096,<Not Applicable>,nan,nan,nan,nan,nan,61640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,VERBUND AG - Climate Change 2020,January 1 2019,December 31 2019,EUR,Operational control,1072351,392000,312000,2208,922,158288,nan,286,1780,3794,159,nan,nan,198000,nan,nan,nan,nan,nan,nan
