,Title,Activity,Metric figure,Metric numerator,Metric denominator,Metric numerator: Unit total,Metric denominator: Unit total,% change from previous year
66,Suzuki Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),0.351,tCO2,Production: Vehicle,1189873,3393976,-3
67,BYD - Climate Change 2018,,,,,,,
68,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),156,"Other, please specify (gm/km is the metric)",Use phase: Vehicle.km,156,1,-1.27
69,Mahindra &amp; Mahindra - Climate Change 2019,Light Duty Vehicles (LDV),145,"Other, please specify (gm/km is the metric)",Use phase: Vehicle.km,145,1,-1.36
70,Isuzu Motors Limited - Climate Change 2020,Heavy Duty Vehicles (HDV),623.72,tCO2,Production: Vehicle,18053564,28945,-2.2
71,Isuzu Motors Limited - Climate Change 2020,Heavy Duty Vehicles (HDV),169.28,tCO2,Production: Vehicle,7178655,42408,3.5
72,Toyota Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),26,tCO2e (t-CO2e per vehicle),Production: Vehicle,266983044.35,10247047,-4
73,Toyota Motor Corporation - Climate Change 2019,Heavy Duty Vehicles (HDV),341,tCO2e,Production: Vehicle,67065237.69,196479,3
74,Suzuki Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),0.36,tCO2,Production: Vehicle,1209182,3338281,-0.3
75,"Nissan Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),0.51,"Other, please specify (Other: Manufacturing CO2 (tCO2e))",Production: Vehicle,2408000,4757000,4
76,Navistar International Corporation - Climate Change 2020,Heavy Duty Vehicles (HDV),,Please select,Production: Vehicle,,,Please explain
77,Mazda Motor Corporation - Climate Change 2018,Light Duty Vehicles (LDV),144,tCO2,Use phase: Vehicle.km,30820110,214557,99.18
78,General Motors Company - Climate Change 2018,Light Duty Vehicles (LDV),0.00017,tCO2e,Use phase: Vehicle.km,22092911,133725000000,2.3
